claim_id,quantity,value,uncertainty,n,unit,source_path,source_locator,status
cover-random-policy-audits.3723,per_slice/row413::n_transition,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].n_transition,SOLID
cover-random-policy-audits.3724,per_slice/row413::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].n_unguided,SOLID
cover-random-policy-audits.3725,per_slice/row413::anat_cells,55,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].anat_cells,SOLID
cover-random-policy-audits.3726,per_slice/row413::union,105,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].union,SOLID
cover-random-policy-audits.3727,per_slice/row414::idx,83990,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].idx,SOLID
cover-random-policy-audits.3728,per_slice/row414::hidden_pct,84.71677350269033,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].hidden_pct,SOLID
cover-random-policy-audits.3729,per_slice/row414::visible_pct,15.283226497309666,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].visible_pct,SOLID
cover-random-policy-audits.3730,per_slice/row414::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].n_cover,SOLID
cover-random-policy-audits.3731,per_slice/row414::n_random,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].n_random,SOLID
cover-random-policy-audits.3732,per_slice/row414::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].n_transition,SOLID
cover-random-policy-audits.3733,per_slice/row414::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].n_unguided,SOLID
cover-random-policy-audits.3734,per_slice/row414::anat_cells,51,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].anat_cells,SOLID
cover-random-policy-audits.3735,per_slice/row414::union,151,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[414].union,SOLID
cover-random-policy-audits.3736,per_slice/row415::idx,83990,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].idx,SOLID
cover-random-policy-audits.3737,per_slice/row415::hidden_pct,94.53006343225813,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].hidden_pct,SOLID
cover-random-policy-audits.3738,per_slice/row415::visible_pct,5.469936567741862,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].visible_pct,SOLID
cover-random-policy-audits.3739,per_slice/row415::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].n_cover,SOLID
cover-random-policy-audits.3740,per_slice/row415::n_random,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].n_random,SOLID
cover-random-policy-audits.3741,per_slice/row415::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].n_transition,SOLID
cover-random-policy-audits.3742,per_slice/row415::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].n_unguided,SOLID
cover-random-policy-audits.3743,per_slice/row415::anat_cells,51,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].anat_cells,SOLID
cover-random-policy-audits.3744,per_slice/row415::union,115,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[415].union,SOLID
cover-random-policy-audits.3745,per_slice/row416::idx,83990,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[416].idx,SOLID
cover-random-policy-audits.3746,per_slice/row416::hidden_pct,84.71677350269033,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[416].hidden_pct,SOLID
cover-random-policy-audits.3747,per_slice/row416::visible_pct,15.283226497309666,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[416].visible_pct,SOLID
cover-random-policy-audits.3748,per_slice/row416::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[416].n_cover,SOLID
cover-random-policy-audits.3749,per_slice/row416::n_random,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[416].n_random,SOLID
